# Radial distribution function (400 data points):
# "Pair separation distance" g(r)
0.01 0.0 
0.03 0.0 
0.05 0.0 
0.07 0.0 
0.09 0.0 
0.11 0.0 
0.13 0.0 
0.15 0.0 
0.17 0.0 
0.19 0.0 
0.21 0.0 
0.23 0.0 
0.25 0.0 
0.27 0.0 
0.29 0.0 
0.31 0.0 
0.33 0.0 
0.35 0.0 
0.37 0.0 
0.39 0.0 
0.41 0.0 
0.43 0.0 
0.45 0.0 
0.47 0.0 
0.49 0.0 
0.51 0.0 
0.53 0.0 
0.55 0.0 
0.57 0.0 
0.59 0.0 
0.61 0.0 
0.63 0.0 
0.65 0.0 
0.67 0.0 
0.69 0.0 
0.71 0.0 
0.73 0.0 
0.75 0.0 
0.77 0.0 
0.79 0.0 
0.81 0.0 
0.83 0.0 
0.85 0.0 
0.87 0.0 
0.89 0.0 
0.91 0.0 
0.93 0.0 
0.95 0.0 
0.97 0.0 
0.99 0.0 
1.01 0.0 
1.03 0.0 
1.05 0.0 
1.07 0.0 
1.09 0.0 
1.11 0.0 
1.13 0.0 
1.15 0.0 
1.17 0.0 
1.19 0.0 
1.21 0.0 
1.23 0.0 
1.25 0.0 
1.27 0.0 
1.29 0.0 
1.31 0.0 
1.33 4.4245506959 
1.35 0.0 
1.37 0.0 
1.39 0.0 
1.41 0.0 
1.43 0.0 
1.45 0.0 
1.47 0.0 
1.49 0.0 
1.51 0.0 
1.53 0.0 
1.55 0.0 
1.57 0.0 
1.59 0.0 
1.61 0.0 
1.63 0.0 
1.65 0.0 
1.67 8.4190630706 
1.69 0.0 
1.71 4.0148999646 
1.73 0.0 
1.75 7.6669224715 
1.77 0.0 
1.79 21.984296398 
1.81 0.0 
1.83 7.0112490444 
1.85 0.0 
1.87 0.0 
1.89 0.0 
1.91 0.0 
1.93 0.0 
1.95 0.0 
1.97 0.0 
1.99 0.0 
2.01 0.0 
2.03 0.0 
2.05 0.0 
2.07 0.0 
2.09 0.0 
2.11 0.0 
2.13 0.0 
2.15 0.0 
2.17 0.0 
2.19 0.0 
2.21 0.0 
2.23 0.0 
2.25 0.0 
2.27 0.0 
2.29 0.0 
2.31 0.0 
2.33 0.0 
2.35 4.2517091733 
2.37 0.0 
2.39 0.0 
2.41 0.0 
2.43 0.0 
2.45 0.0 
2.47 0.0 
2.49 0.0 
2.51 0.0 
2.53 0.0 
2.55 0.0 
2.57 0.0 
2.59 0.0 
2.61 0.0 
2.63 0.0 
2.65 0.5572586729 
2.67 0.0 
2.69 0.0 
2.71 0.0 
2.73 0.0 
2.75 0.0 
2.77 0.0 
2.79 0.0 
2.81 2.9736333775 
2.83 2.9317519145 
2.85 0.0 
2.87 0.0 
2.89 8.4338472684 
2.91 0.0 
2.93 0.0 
2.95 13.4904428019 
2.97 0.0 
2.99 5.2527640825 
3.01 5.1831920721 
3.03 0.0 
3.05 5.0481314695 
3.07 0.0 
3.09 0.0 
3.11 0.0 
3.13 0.0 
3.15 4.7327038054 
3.17 0.0 
3.19 0.0 
3.21 0.0 
3.23 0.0 
3.25 0.0 
3.27 0.0 
3.29 0.0 
3.31 2.1431106138 
3.33 1.0587224635 
3.35 0.0 
3.37 0.0 
3.39 0.0 
3.41 0.0 
3.43 1.9957788937 
3.45 0.0 
3.47 0.9750160134 
3.49 5.7832385715 
3.51 0.0 
3.53 0.9421527668 
3.55 0.0 
3.57 0.0 
3.59 0.0 
3.61 0.0 
3.63 0.0 
3.65 3.5248860026 
3.67 0.0 
3.69 0.0 
3.71 0.0 
3.73 6.7506125618 
3.75 0.0 
3.77 4.9560928238 
3.79 0.0 
3.81 4.852574393 
3.83 0.0 
3.85 0.0 
3.87 0.0 
3.89 0.0 
3.91 0.0 
3.93 0.0 
3.95 0.0 
3.97 0.0 
3.99 0.0 
4.01 0.0 
4.03 1.4457423814 
4.05 0.0 
4.07 0.0 
4.09 0.0 
4.11 0.0 
4.13 0.0 
4.15 0.0 
4.17 0.0 
4.19 0.0 
4.21 0.0 
4.23 1.3122613937 
4.25 0.0 
4.27 0.0 
4.29 0.0 
4.31 0.0 
4.33 2.504697757 
4.35 8.6860166414 
4.37 1.2295275489 
4.39 0.0 
4.41 2.4146487717 
4.43 2.392895327 
4.45 2.3714345269 
4.47 2.3502611456 
4.49 2.3293700736 
4.51 0.0 
4.53 0.0 
4.55 0.0 
4.57 0.0 
4.59 0.0 
4.61 2.2096798721 
4.63 2.1906310262 
4.65 0.5429568606 
4.67 0.0 
4.69 1.6012045352 
4.71 1.0584233912 
4.73 1.0494916014 
4.75 0.0 
4.77 0.0 
4.79 1.0233642427 
4.81 1.0148716423 
4.83 0.0 
4.85 0.9982005467 
4.87 1.980037242 
4.89 0.0 
4.91 1.9479073977 
4.93 0.0 
4.95 0.0 
4.97 4.7528984666 
4.99 0.9429750965 
5.01 1.8709227813 
5.03 0.0 
5.05 0.0 
5.07 0.0 
5.09 0.0 
5.11 0.0 
5.13 0.0 
5.15 1.7705854368 
5.17 6.5884238645 
5.19 0.0 
5.21 0.8650195364 
5.23 0.0 
5.25 0.0 
5.27 1.6908696932 
5.29 0.8390542367 
5.31 0.0 
5.33 0.0 
5.35 0.0 
5.37 0.0 
5.39 0.8082093443 
5.41 4.0112236345 
5.43 0.0 
5.45 3.1620475425 
5.47 1.5694835032 
5.49 7.7903456409 
5.51 0.0 
5.53 0.0 
5.55 0.0 
5.57 0.0 
5.59 0.7514114646 
5.61 0.0 
5.63 5.5557911674 
5.65 0.0 
5.67 0.0 
5.69 0.0 
5.71 0.0 
5.73 0.7151418789 
5.75 0.0 
5.77 0.0 
5.79 2.101191288 
5.81 1.3911667786 
5.83 0.0 
5.85 0.0 
5.87 1.3628726275 
5.89 6.0913478184 
5.91 2.6889734311 
5.93 0.0 
5.95 1.9897055455 
5.97 2.6351953708 
5.99 0.0 
6.01 0.0 
6.03 0.6457536559 
6.05 0.0 
6.07 0.0 
6.09 1.2661842764 
6.11 3.1447714792 
6.13 0.0 
6.15 1.2415987806 
6.17 0.6167812853 
6.19 0.0 
6.21 0.0 
6.23 0.6049582862 
6.25 0.0 
6.27 0.597264148 
6.29 0.0 
6.31 0.8845738021 
6.33 2.3439811025 
6.35 2.9115489147 
6.37 2.8932947495 
6.39 2.3001693731 
6.41 0.0 
6.43 1.1358202198 
6.45 0.0 
6.47 0.0 
6.49 0.0 
6.51 1.1080760624 
6.53 0.275324715 
6.55 0.5472918219 
6.57 1.6318944907 
6.59 1.0813361676 
6.61 1.6122036514 
6.63 1.0683277405 
6.65 1.3273892212 
6.67 0.0 
6.69 0.0 
6.71 0.0 
6.73 2.073630821 
6.75 3.092041278 
6.77 1.5368995998 
6.79 0.0 
6.81 1.0125986772 
6.83 1.0066770644 
6.85 0.0 
6.87 0.0 
6.89 0.7419154349 
6.91 0.0 
6.93 0.9778339709 
6.95 0.0 
6.97 0.0 
6.99 0.0 
7.01 0.0 
7.03 0.0 
7.05 0.472414665 
7.07 0.0 
7.09 1.8683968611 
7.11 2.7868504158 
7.13 5.0806027238 
7.15 1.377878057 
7.17 0.0 
7.19 0.0 
7.21 1.8067209456 
7.23 0.4491847718 
7.25 0.0 
7.27 0.8885109738 
7.29 1.7672848655 
7.31 1.3182206965 
7.33 1.3110369503 
7.35 1.5212303949 
7.37 0.864563008 
7.39 0.8598897058 
7.41 0.2138135483 
7.43 0.2126640158 
7.45 1.2691423737 
7.47 2.1039258871 
7.49 2.0927049757 
7.51 1.6652588741 
7.53 1.0352653939 
7.55 0.8238302496 
7.57 0.0 
7.59 0.0 
7.61 0.810890716 
7.63 0.0 
7.65 4.6139896788 
7.67 1.5965073172 
7.69 0.3970534479 
7.71 0.7899923614 
7.73 1.5718194454 
7.75 0.0 
7.77 0.0 
7.79 0.0 
7.81 3.4645122428 
7.83 1.1489453995 
7.85 1.9051639362 
7.87 2.2745916889 
7.89 0.7543582646 
7.91 0.7505483824 
7.93 1.4935345806 
7.95 1.4860293975 
7.97 0.3696451611 
7.99 0.7355938782 
