# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.0125 0.0 
0.0375 0.0 
0.0625 0.0 
0.0875 0.0 
0.1125 0.0 
0.1375 0.0 
0.1625 0.0 
0.1875 0.0 
0.2125 0.0 
0.2375 0.0 
0.2625 0.0 
0.2875 0.0 
0.3125 0.0 
0.3375 0.0 
0.3625 0.0 
0.3875 0.0 
0.4125 0.0 
0.4375 0.0 
0.4625 0.0 
0.4875 0.0 
0.5125 0.0 
0.5375 0.0 
0.5625 0.0 
0.5875 0.0 
0.6125 0.0 
0.6375 0.0 
0.6625 0.0 
0.6875 0.0 
0.7125 0.0 
0.7375 0.0 
0.7625 0.0 
0.7875 0.0 
0.8125 0.0 
0.8375 0.0 
0.8625 0.0 
0.8875 0.0 
0.9125 0.0 
0.9375 0.0 
0.9625 0.0 
0.9875 0.0 
1.0125 0.0 
1.0375 0.0 
1.0625 0.0 
1.0875 0.0 
1.1125 0.0 
1.1375 0.0 
1.1625 0.0 
1.1875 0.0 
1.2125 0.0 
1.2375 0.0 
1.2625 0.0 
1.2875 0.0 
1.3125 0.0 
1.3375 0.0 
1.3625 0.0 
1.3875 0.0 
1.4125 0.0 
1.4375 0.0 
1.4625 0.0 
1.4875 0.0 
1.5125 0.0 
1.5375 0.0 
1.5625 0.0 
1.5875 0.0 
1.6125 0.0 
1.6375 0.0 
1.6625 0.0 
1.6875 0.0 
1.7125 0.0 
1.7375 0.0 
1.7625 0.0 
1.7875 0.0 
1.8125 0.0 
1.8375 0.0 
1.8625 0.0 
1.8875 0.0 
1.9125 0.0 
1.9375 0.0 
1.9625 0.0 
1.9875 0.0 
2.0125 0.0 
2.0375 0.0 
2.0625 0.0 
2.0875 0.0 
2.1125 0.0 
2.1375 0.0 
2.1625 0.0 
2.1875 0.0 
2.2125 0.0 
2.2375 0.0 
2.2625 0.0788230845 
2.2875 0.1927740185 
2.3125 0.4149827049 
2.3375 0.2953844526 
2.3625 0.433749097 
2.3875 0.6016767326 
2.4125 0.8665756924 
2.4375 0.9847136694 
2.4625 1.4305968737 
2.4875 1.597611839 
2.5125 2.0773164353 
2.5375 2.0052539652 
2.5625 2.2735554538 
2.5875 2.5311635932 
2.6125 3.0741315738 
2.6375 3.7121610195 
2.6625 3.8989096202 
2.6875 3.0725406132 
2.7125 3.4000409034 
2.7375 3.2036179022 
2.7625 3.0665883144 
2.7875 2.9599011861 
2.8125 2.7034787985 
2.8375 2.480651007 
2.8625 2.8314514134 
2.8875 2.2745012479 
2.9125 2.3545378949 
2.9375 2.0106899347 
2.9625 1.7930001749 
2.9875 1.5822849684 
3.0125 1.4227493469 
3.0375 1.6836845432 
3.0625 1.4627137058 
3.0875 1.4179585051 
3.1125 1.0412475051 
3.1375 1.3321361517 
3.1625 1.0085831282 
3.1875 0.893541906 
3.2125 0.9383347443 
3.2375 0.7699159267 
3.2625 0.6633915008 
3.2875 0.7466746379 
3.3125 0.7170604945 
3.3375 0.6339112942 
3.3625 0.6780504907 
3.3875 0.7032414115 
3.4125 0.5717046202 
3.4375 0.5292725744 
3.4625 0.471174312 
3.4875 0.3483325243 
3.5125 0.3597437075 
3.5375 0.2740685748 
3.5625 0.4450937824 
3.5875 0.2508068711 
3.6125 0.2782659613 
3.6375 0.335443972 
3.6625 0.3308801793 
3.6875 0.2522250545 
3.7125 0.2781147738 
3.7375 0.3321764494 
3.7625 0.3135256597 
3.7875 0.2250184596 
3.8125 0.3192358083 
3.8375 0.4246864508 
3.8625 0.3786383116 
3.8875 0.2803380309 
3.9125 0.2635875185 
3.9375 0.3643514174 
3.9625 0.4497105519 
3.9875 0.5202188283 
4.0125 0.3884500866 
4.0375 0.5569177759 
4.0625 0.3056025085 
4.0875 0.6399764736 
4.1125 0.7037912723 
4.1375 0.6717420656 
4.1625 0.5705468423 
4.1875 0.9319210325 
4.2125 0.9208925107 
4.2375 1.0336468127 
4.2625 1.0215575149 
4.2875 1.0426033914 
4.3125 1.0956376959 
4.3375 1.136660353 
4.3625 1.3144819935 
4.3875 1.152822053 
4.4125 1.3263080198 
4.4375 1.3421419145 
4.4625 1.3271460723 
4.4875 1.0819787557 
4.5125 1.2879910233 
4.5375 1.1856486747 
4.5625 1.3180657997 
4.5875 1.3516707254 
4.6125 1.1758526119 
4.6375 1.3039199432 
4.6625 1.1043665804 
4.6875 1.2670697423 
4.7125 1.2536617227 
4.7375 1.3393430833 
4.7625 1.1652130652 
4.7875 1.1970860562 
4.8125 1.2630791469 
4.8375 1.1810891206 
4.8625 1.5102822059 
4.8875 1.334404887 
4.9125 1.1703802814 
4.9375 1.1171812751 
4.9625 1.4336433191 
4.9875 1.3463140743 
