# No.	h	k	l	K_0	K_1	K_2	Intensity
1	-24	-3	-2	-1.68108000	-0.21013500	-0.14009000	0.00000000
2	-24	-3	-1	-1.68108000	-0.21013500	-0.07004500	0.00000000
3	-24	-3	0	-1.68108000	-0.21013500	0.00000000	0.00000000
4	-24	-3	1	-1.68108000	-0.21013500	0.07004500	0.00000000
5	-24	-3	2	-1.68108000	-0.21013500	0.14009000	0.00000000
6	-24	-2	-3	-1.68108000	-0.14009000	-0.21013500	0.00000000
7	-24	-2	-2	-1.68108000	-0.14009000	-0.14009000	0.00000000
8	-24	-2	-1	-1.68108000	-0.14009000	-0.07004500	0.00000000
9	-24	-2	0	-1.68108000	-0.14009000	0.00000000	0.00000000
10	-24	-2	1	-1.68108000	-0.14009000	0.07004500	0.00000000
11	-24	-2	2	-1.68108000	-0.14009000	0.14009000	0.00000000
12	-24	-2	3	-1.68108000	-0.14009000	0.21013500	0.00000000
13	-24	-1	-3	-1.68108000	-0.07004500	-0.21013500	0.00000000
14	-24	-1	-2	-1.68108000	-0.07004500	-0.14009000	0.00000000
15	-24	-1	-1	-1.68108000	-0.07004500	-0.07004500	0.00000000
16	-24	-1	0	-1.68108000	-0.07004500	0.00000000	0.00000000
17	-24	-1	1	-1.68108000	-0.07004500	0.07004500	0.00000000
18	-24	-1	2	-1.68108000	-0.07004500	0.14009000	0.00000000
19	-24	-1	3	-1.68108000	-0.07004500	0.21013500	0.00000000
20	-24	0	-3	-1.68108000	0.00000000	-0.21013500	0.00000000
21	-24	0	-2	-1.68108000	0.00000000	-0.14009000	0.00000000
22	-24	0	-1	-1.68108000	0.00000000	-0.07004500	0.00000000
23	-24	0	0	-1.68108000	0.00000000	0.00000000	0.00001846
24	-24	0	1	-1.68108000	0.00000000	0.07004500	0.00000000
25	-24	0	2	-1.68108000	0.00000000	0.14009000	0.00000000
26	-24	0	3	-1.68108000	0.00000000	0.21013500	0.00000000
27	-24	1	-3	-1.68108000	0.07004500	-0.21013500	0.00000000
28	-24	1	-2	-1.68108000	0.07004500	-0.14009000	0.00000000
29	-24	1	-1	-1.68108000	0.07004500	-0.07004500	0.00000000
30	-24	1	0	-1.68108000	0.07004500	0.00000000	0.00000000
31	-24	1	1	-1.68108000	0.07004500	0.07004500	0.00000000
32	-24	1	2	-1.68108000	0.07004500	0.14009000	0.00000000
33	-24	1	3	-1.68108000	0.07004500	0.21013500	0.00000000
34	-24	2	-3	-1.68108000	0.14009000	-0.21013500	0.00000000
35	-24	2	-2	-1.68108000	0.14009000	-0.14009000	0.00000000
36	-24	2	-1	-1.68108000	0.14009000	-0.07004500	0.00000000
37	-24	2	0	-1.68108000	0.14009000	0.00000000	0.00000000
38	-24	2	1	-1.68108000	0.14009000	0.07004500	0.00000000
39	-24	2	2	-1.68108000	0.14009000	0.14009000	0.00000000
40	-24	2	3	-1.68108000	0.14009000	0.21013500	0.00000000
41	-24	3	-2	-1.68108000	0.21013500	-0.14009000	0.00000000
42	-24	3	-1	-1.68108000	0.21013500	-0.07004500	0.00000000
43	-24	3	0	-1.68108000	0.21013500	0.00000000	0.00000000
44	-24	3	1	-1.68108000	0.21013500	0.07004500	0.00000000
45	-24	3	2	-1.68108000	0.21013500	0.14009000	0.00000000
46	-23	-7	-3	-1.61103500	-0.49031500	-0.21013500	0.00000000
47	-23	-7	-2	-1.61103500	-0.49031500	-0.14009000	0.00000000
48	-23	-7	-1	-1.61103500	-0.49031500	-0.07004500	0.00000000
49	-23	-7	0	-1.61103500	-0.49031500	0.00000000	0.00000000
50	-23	-7	1	-1.61103500	-0.49031500	0.07004500	0.00000000
51	-23	-7	2	-1.61103500	-0.49031500	0.14009000	0.00000000
52	-23	-7	3	-1.61103500	-0.49031500	0.21013500	0.00000000
53	-23	-6	-4	-1.61103500	-0.42027000	-0.28018000	0.00000000
54	-23	-6	-3	-1.61103500	-0.42027000	-0.21013500	0.00000000
55	-23	-6	-2	-1.61103500	-0.42027000	-0.14009000	0.00000000
56	-23	-6	-1	-1.61103500	-0.42027000	-0.07004500	0.00000000
57	-23	-6	0	-1.61103500	-0.42027000	0.00000000	0.00000000
58	-23	-6	1	-1.61103500	-0.42027000	0.07004500	0.00000000
59	-23	-6	2	-1.61103500	-0.42027000	0.14009000	0.00000000
60	-23	-6	3	-1.61103500	-0.42027000	0.21013500	0.00000000
61	-23	-6	4	-1.61103500	-0.42027000	0.28018000	0.00000000
62	-23	-5	-5	-1.61103500	-0.35022500	-0.35022500	0.00002334
