# Time-averaged data for fix frdf
# TimeStep Number-of-rows
# Row c_Rdf[1] c_Rdf[2] c_Rdf[3]
50000 200
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0 0
39 0.9625 0 0
40 0.9875 0 0
41 1.0125 0 0
42 1.0375 0 0
43 1.0625 0 0
44 1.0875 0 0
45 1.1125 0 0
46 1.1375 0 0
47 1.1625 0 0
48 1.1875 0 0
49 1.2125 0 0
50 1.2375 0 0
51 1.2625 0 0
52 1.2875 0 0
53 1.3125 0 0
54 1.3375 0 0
55 1.3625 0 0
56 1.3875 0 0
57 1.4125 0 0
58 1.4375 0 0
59 1.4625 0 0
60 1.4875 0 0
61 1.5125 0 0
62 1.5375 0 0
63 1.5625 0 0
64 1.5875 0 0
65 1.6125 0 0
66 1.6375 0 0
67 1.6625 0 0
68 1.6875 0 0
69 1.7125 0 0
70 1.7375 0 0
71 1.7625 0 0
72 1.7875 0 0
73 1.8125 0 0
74 1.8375 0.00264566 0.000148148
75 1.8625 0.0103005 0.000740741
76 1.8875 0.00752206 0.00118519
77 1.9125 0.0341912 0.00325926
78 1.9375 0.0380738 0.00562963
79 1.9625 0.0834974 0.010963
80 1.9875 0.119854 0.0188148
81 2.0125 0.0882223 0.0247407
82 2.0375 0.139865 0.0343704
83 2.0625 0.167994 0.0462222
84 2.0875 0.159894 0.0577778
85 2.1125 0.204173 0.0728889
86 2.1375 0.213111 0.089037
87 2.1625 0.278889 0.110667
88 2.1875 0.287485 0.133481
89 2.2125 0.332121 0.160444
90 2.2375 0.331878 0.188
91 2.2625 0.403113 0.222222
92 2.2875 0.517264 0.267111
93 2.3125 0.559594 0.316741
94 2.3375 0.698098 0.38
95 2.3625 0.795435 0.45363
96 2.3875 0.893264 0.538074
97 2.4125 1.11121 0.645333
98 2.4375 1.27196 0.770667
99 2.4625 1.2934 0.900741
100 2.4875 1.54761 1.05956
101 2.5125 1.53394 1.22015
102 2.5375 1.71474 1.40326
103 2.5625 1.74675 1.59348
104 2.5875 1.7732 1.79037
105 2.6125 1.8245 1.99689
106 2.6375 1.91335 2.21763
107 2.6625 1.93303 2.44489
108 2.6875 1.87374 2.66933
109 2.7125 1.99476 2.91274
110 2.7375 1.95373 3.15556
111 2.7625 1.88107 3.39363
112 2.7875 1.89576 3.63793
113 2.8125 1.91755 3.88948
114 2.8375 1.86726 4.13881
115 2.8625 1.90565 4.39778
116 2.8875 1.7903 4.64533
117 2.9125 1.79024 4.89719
118 2.9375 1.73712 5.14578
119 2.9625 1.76289 5.40237
120 2.9875 1.66345 5.64859
121 3.0125 1.65072 5.89704
122 3.0375 1.59461 6.14104
123 3.0625 1.61535 6.3923
124 3.0875 1.60523 6.64607
125 3.1125 1.43847 6.87719
126 3.1375 1.45919 7.11541
127 3.1625 1.3719 7.34296
128 3.1875 1.4085 7.5803
129 3.2125 1.28106 7.79956
130 3.2375 1.28777 8.02341
131 3.2625 1.26559 8.24681
132 3.2875 1.1274 8.44889
133 3.3125 1.13975 8.6563
134 3.3375 1.16284 8.87111
135 3.3625 1.14087 9.08504
136 3.3875 1.0478 9.28444
137 3.4125 1.05629 9.48844
138 3.4375 0.977478 9.68
139 3.4625 0.967885 9.87244
140 3.4875 0.995922 10.0733
141 3.5125 0.901427 10.2578
142 3.5375 0.858036 10.4359
143 3.5625 0.885452 10.6222
144 3.5875 0.857884 10.8053
145 3.6125 0.833731 10.9858
146 3.6375 0.771 11.155
147 3.6625 0.761842 11.3244
148 3.6875 0.747605 11.493
149 3.7125 0.714238 11.6563
150 3.7375 0.709191 11.8206
151 3.7625 0.746493 11.9959
152 3.7875 0.718613 12.1668
153 3.8125 0.666813 12.3276
154 3.8375 0.684237 12.4947
155 3.8625 0.682594 12.6636
156 3.8875 0.679162 12.8338
157 3.9125 0.671678 13.0043
158 3.9375 0.686799 13.1809
159 3.9625 0.670764 13.3556
160 3.9875 0.664065 13.5307
161 4.0125 0.700757 13.7178
162 4.0375 0.659227 13.896
163 4.0625 0.680367 14.0822
164 4.0875 0.710031 14.279
165 4.1125 0.737341 14.4858
166 4.1375 0.721152 14.6905
167 4.1625 0.741387 14.9036
168 4.1875 0.775353 15.129
169 4.2125 0.731946 15.3444
170 4.2375 0.72831 15.5613
171 4.2625 0.762566 15.7911
172 4.2875 0.780912 16.0292
173 4.3125 0.803586 16.277
174 4.3375 0.799572 16.5265
175 4.3625 0.808271 16.7816
176 4.3875 0.793054 17.0348
177 4.4125 0.825385 17.3013
178 4.4375 0.839701 17.5756
179 4.4625 0.837944 17.8523
180 4.4875 0.862791 18.1404
181 4.5125 0.836148 18.4228
182 4.5375 0.869913 18.7199
183 4.5625 0.901173 19.031
184 4.5875 0.890105 19.3416
185 4.6125 0.948502 19.6763
186 4.6375 0.945364 20.0135
187 4.6625 0.968127 20.3625
188 4.6875 0.968398 20.7154
189 4.7125 0.963782 21.0704
190 4.7375 0.994633 21.4406
191 4.7625 1.00785 21.8197
192 4.7875 1.00359 22.2012
193 4.8125 1.03947 22.6004
194 4.8375 1.07074 23.016
195 4.8625 1.02878 23.4194
196 4.8875 1.10841 23.8585
197 4.9125 1.08309 24.292
198 4.9375 1.12381 24.7464
199 4.9625 1.1078 25.1988
200 4.9875 1.09349 25.6499
