# Time-averaged data for fix frdfij
# TimeStep Number-of-rows
# Row c_Rdfij[1] c_Rdfij[2] c_Rdfij[3] c_Rdfij[4] c_Rdfij[5] c_Rdfij[6] c_Rdfij[7]
50000 200
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0 0 0 0 0 0
44 1.0875 0 0 0 0 0 0
45 1.1125 0 0 0 0 0 0
46 1.1375 0 0 0 0 0 0
47 1.1625 0 0 0 0 0 0
48 1.1875 0 0 0 0 0 0
49 1.2125 0 0 0 0 0 0
50 1.2375 0 0 0 0 0 0
51 1.2625 0 0 0 0 0 0
52 1.2875 0 0 0 0 0 0
53 1.3125 0 0 0 0 0 0
54 1.3375 0 0 0 0 0 0
55 1.3625 0 0 0 0 0 0
56 1.3875 0 0 0 0 0 0
57 1.4125 0 0 0 0 0 0
58 1.4375 0 0 0 0 0 0
59 1.4625 0 0 0 0 0 0
60 1.4875 0 0 0 0 0 0
61 1.5125 0 0 0 0 0 0
62 1.5375 0 0 0 0 0 0
63 1.5625 0 0 0 0 0 0
64 1.5875 0 0 0 0 0 0
65 1.6125 0 0 0 0 0 0
66 1.6375 0 0 0 0 0 0
67 1.6625 0 0 0 0 0 0
68 1.6875 0 0 0 0 0 0
69 1.7125 0 0 0 0 0 0
70 1.7375 0 0 0 0 0 0
71 1.7625 0 0 0 0 0 0
72 1.7875 0 0 0 0 0 0
73 1.8125 0 0 0 0 0 0
74 1.8375 0.0103916 0.0002936 0 0 0 0
75 1.8625 0.0404582 0.001468 0 0 0 0
76 1.8875 0.0295452 0.0023488 0 0 0 0
77 1.9125 0.134297 0.00645919 0 0 0 0
78 1.9375 0.149547 0.0111568 0 0 0 0
79 1.9625 0.327962 0.0217264 0 0 0 0
80 1.9875 0.470762 0.0372871 0 0 0 0
81 2.0125 0.34652 0.0490311 0 0 0 0
82 2.0375 0.549362 0.0681151 0 0 0 0
83 2.0625 0.659846 0.0916031 0 0 0 0
84 2.0875 0.628033 0.114504 0 0 0 0
85 2.1125 0.80195 0.144451 0 0 0 0
86 2.1375 0.829378 0.17616 0 0 0.00391033 0.0001468
87 2.1625 1.09542 0.219025 0 0 0 0.0001468
88 2.1875 1.12185 0.263946 0 0 0.00373361 0.0002936
89 2.2125 1.29017 0.316794 0 0 0.00729943 0.000587199
90 2.2375 1.24048 0.368761 0 0 0.0321175 0.0019084
91 2.2625 1.43255 0.430123 0 0 0.0767841 0.00513799
92 2.2875 1.66962 0.50323 0 0 0.184373 0.0130652
93 2.3125 1.64684 0.576923 0 0 0.280635 0.0253964
94 2.3375 1.77876 0.65825 0 0 0.490472 0.0474163
95 2.3625 1.83561 0.743981 0.0456514 0.0020933 0.633794 0.0764827
96 2.3875 1.72351 0.826189 0.0255431 0.00328947 0.896408 0.118467
97 2.4125 1.85074 0.916324 0.0312705 0.00478469 1.2647 0.178949
98 2.4375 2.03738 1.01762 0.0857706 0.00897129 1.46442 0.25044
99 2.4625 1.79949 1.10893 0.120054 0.0149522 1.61162 0.33074
100 2.4875 1.92795 1.20875 0.158832 0.0230263 2.03559 0.434234
101 2.5125 2.00649 1.31474 0.172985 0.0319976 1.96132 0.535966
102 2.5375 2.09248 1.42748 0.237431 0.0445574 2.2475 0.654874
103 2.5625 1.78468 1.52554 0.360318 0.0639952 2.40792 0.784792
104 2.5875 1.86042 1.62977 0.309895 0.0810407 2.44701 0.919407
105 2.6125 1.73759 1.72901 0.346658 0.100478 2.59411 1.06489
106 2.6375 1.7502 1.83089 0.413373 0.124103 2.73265 1.22108
107 2.6625 1.75708 1.93511 0.554555 0.1564 2.69921 1.3783
108 2.6875 1.57395 2.03024 0.65012 0.194976 2.62697 1.5342
109 2.7125 1.59276 2.1283 0.786608 0.242524 2.79245 1.70302
110 2.7375 1.68553 2.234 0.820879 0.293062 2.64632 1.86597
111 2.7625 1.33792 2.31944 0.839477 0.345694 2.66887 2.03332
112 2.7875 1.42241 2.41192 1.04466 0.41238 2.55453 2.19642
113 2.8125 1.35287 2.50147 1.21024 0.491029 2.55224 2.3623
114 2.8375 1.19841 2.58221 1.17997 0.569079 2.54518 2.53068
115 2.8625 1.29746 2.67117 1.47041 0.668062 2.42897 2.69422
116 2.8875 1.10256 2.74809 1.41886 0.765251 2.32281 2.85335
117 2.9125 1.04235 2.82208 1.67782 0.882177 2.22623 3.00851
118 2.9375 1.02468 2.89607 1.37519 0.979665 2.27753 3.16999
119 2.9625 1.04744 2.97299 1.77927 1.10795 2.11915 3.32281
120 2.9875 0.915974 3.0414 1.77409 1.23804 1.98975 3.46873
121 3.0125 0.85444 3.10628 1.80092 1.37231 1.98245 3.61656
122 3.0375 0.867053 3.17322 1.97654 1.52213 1.77762 3.75132
123 3.0625 0.751947 3.23224 2.13458 1.6866 1.80015 3.89005
124 3.0875 0.857601 3.30065 2.12688 1.85317 1.72988 4.02554
125 3.1125 0.648303 3.3532 1.95758 2.00897 1.58602 4.15179
126 3.1375 0.670091 3.4084 2.08551 2.17763 1.55358 4.27745
127 3.1625 0.652522 3.46301 2.07451 2.34809 1.39335 4.39196
128 3.1875 0.62506 3.51615 2.12091 2.52512 1.45775 4.51365
129 3.2125 0.615369 3.56929 1.96811 2.69199 1.2828 4.62243
130 3.2375 0.559037 3.61832 2.08369 2.87141 1.26818 4.73165
131 3.2625 0.58017 3.66999 2.06556 3.05203 1.22196 4.83852
132 3.2875 0.509697 3.71609 1.86586 3.2177 1.07947 4.93438
133 3.3125 0.537206 3.76541 1.88425 3.38756 1.08115 5.03186
134 3.3375 0.570138 3.81856 1.95743 3.56669 1.07463 5.13021
135 3.3625 0.688925 3.88373 1.8737 3.74073 1.01131 5.22416
136 3.3875 0.58095 3.93952 1.83346 3.91358 0.899907 5.30901
137 3.4125 0.530287 3.99119 1.62852 4.06938 1.04326 5.40884
138 3.4375 0.507755 4.0414 1.65113 4.22967 0.886014 5.49486
139 3.4625 0.541422 4.09571 1.53022 4.38038 0.909031 5.58441
140 3.4875 0.579844 4.15473 1.5742 4.53768 0.923955 5.67675
141 3.5125 0.597215 4.21638 1.35715 4.67524 0.832652 5.76116
142 3.5375 0.529923 4.27187 1.32058 4.811 0.798082 5.84322
143 3.5625 0.539099 4.32913 1.40823 4.95783 0.805221 5.92719
144 3.5875 0.507076 4.38373 1.25857 5.09091 0.839847 6.016
145 3.6125 0.618381 4.45126 1.19101 5.2186 0.768026 6.09836
146 3.6375 0.578089 4.51527 1.08116 5.33612 0.716997 6.17631
147 3.6625 0.564992 4.57868 1.05831 5.45275 0.716565 6.25528
148 3.6875 0.549616 4.64122 1.01456 5.56609 0.717393 6.33544
149 3.7125 0.590608 4.70934 0.919069 5.67016 0.676653 6.41207
150 3.7375 0.597804 4.77921 0.927662 5.77661 0.658679 6.48767
151 3.7625 0.644413 4.85555 0.969372 5.88935 0.689078 6.56782
