# Radial distribution function (100 data points):
# "Pair separation distance" 1-1 1-2 2-2
0.05 0.0 0.0 0.0 
0.15 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 
0.35 0.0 0.0 0.0 
0.45 0.0 0.0 0.0 
0.55 0.0 0.0 0.0 
0.65 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 
0.85 0.0 0.0 0.0 
0.95 0.0 0.0 0.0 
1.05 0.0 0.0 0.0 
1.15 0.0 0.0 0.0 
1.25 0.0 0.0 0.0 
1.35 0.0 0.0 0.0 
1.45 0.0 0.0 0.0 
1.55 0.0 0.0 0.0 
1.65 0.0 0.0 0.0 
1.75 0.0 0.0 0.0 
1.85 0.0283721023 0.0 0.0 
1.95 0.2362207528 0.0 0.0 
2.05 0.5776794027 0.0 0.0 
2.15 0.9164756692 0.0013124773 0.0 
2.25 1.3667499153 0.0719054381 0.0 
2.35 1.8442144743 0.6339011872 0.0131781146 
2.45 1.894950422 1.5909600544 0.0848711557 
2.55 1.9434144787 2.3083979836 0.2686146908 
2.65 1.7165509034 2.5228218064 0.4542717721 
2.75 1.5474424694 2.6876862626 0.8789630143 
2.85 1.186689083 2.5405009587 1.2245678732 
2.95 0.9206806964 2.2143276462 1.5903888081 
3.05 0.7751729017 1.7943163492 2.0289637805 
3.15 0.7010480105 1.5103805314 2.0684549296 
3.25 0.6034051855 1.2540064113 2.0108906054 
3.35 0.5592672657 1.0099549821 1.9185794096 
3.45 0.5303779585 0.9043405936 1.6245123044 
3.55 0.5394526408 0.7915227397 1.35140328 
3.65 0.6068928972 0.7027486794 1.0625790427 
3.75 0.6207137113 0.6925223144 0.9281694807 
3.85 0.5962607523 0.6713437946 0.7889226824 
3.95 0.7244076262 0.6284503547 0.7362679165 
4.05 0.7889978386 0.6936113121 0.7181090552 
4.15 0.8910059132 0.6711580118 0.7261807663 
4.25 1.0095381968 0.6926881695 0.6917395578 
4.35 1.0727273482 0.7028941292 0.7038951683 
4.45 1.1102757947 0.7773725037 0.6658777907 
4.55 1.1276899989 0.8095252611 0.7535359517 
4.65 1.1852673171 0.8491673475 0.7747727168 
4.75 1.2020724078 0.9512152539 0.8322829168 
4.85 1.221659325 1.0511767729 0.8803146755 
4.95 1.2352299965 1.0992765982 0.9470940005 
5.05 1.2063140398 1.1656213616 1.0065190514 
5.15 1.1809793987 1.1610607635 1.0624888716 
5.25 1.165490725 1.1751514422 1.1262682263 
5.35 1.1269951974 1.134812317 1.1502517924 
5.45 1.1628609879 1.152590136 1.1982797057 
5.55 1.1016276195 1.1555569363 1.2350417018 
5.65 0.99566245 1.1254697691 1.1993116306 
5.75 0.9635359306 1.0817091457 1.1579602265 
5.85 0.9631595735 1.0414984802 1.1332444805 
5.95 0.9341436549 0.9798758265 1.1509835939 
6.05 0.9021920303 0.9625059 1.0976729824 
6.15 0.9087214685 0.9126896787 1.0940198521 
6.25 0.9187256662 0.8992516755 1.0210941613 
6.35 0.9074810005 0.8782251358 0.9681282597 
6.45 0.9023231004 0.8907314715 0.9657517042 
6.55 0.9590279233 0.8938672967 0.924330255 
6.65 0.9460509318 0.9101343979 0.8937229062 
6.75 0.9829781982 0.9135990359 0.8815500522 
6.85 0.9855367782 0.9585031852 0.9038281254 
6.95 0.9882962024 0.9872728469 0.8780062467 
7.05 1.004671108 1.0048797438 0.8820758183 
7.15 0.9971888892 1.0211223117 0.9240172265 
7.25 1.0488643457 1.0310131312 0.9363223558 
7.35 1.0288335785 1.0534699795 0.9723213063 
7.45 1.0090556248 1.0473538866 0.9737151468 
7.55 1.0512974666 1.0269257218 0.9783123478 
7.65 1.0600895779 1.058836143 1.0260757602 
7.75 1.0375584049 1.0628043295 1.0227925359 
7.85 1.0065640964 1.0551993721 1.0567459795 
7.95 1.0225091471 1.0456221635 1.052593651 
8.05 0.9871464139 1.0289821322 1.0361522233 
8.15 1.015528907 1.0354946611 1.0366329385 
8.25 0.9771461666 1.020440138 1.022349083 
8.35 0.9885336824 1.0038037437 1.0510756562 
8.45 0.9734367177 0.99769229 1.0333113812 
8.55 0.9858422603 0.9868591054 1.0381565381 
8.65 0.9849231794 0.9842048971 1.0133191474 
8.75 0.9888626933 0.9732502847 1.0047087943 
8.85 0.9791978108 0.9636987847 1.0093919628 
8.95 0.951679279 0.9659946496 1.0077098214 
9.05 0.9613003985 0.9716586548 0.9877849928 
9.15 0.9897075059 0.9736566598 1.0002179543 
9.25 1.0057423381 0.9725048736 0.9758731248 
9.35 0.9993428562 0.9820072526 0.9903566424 
9.45 0.9876854774 0.9782533429 0.974262294 
9.55 1.0142335705 0.9841542957 0.986820001 
9.65 1.0419519248 1.0005488874 0.9656923045 
9.75 1.0305223047 0.9964072302 0.9926908447 
9.85 1.0282241854 1.0066112864 0.967260724 
9.95 1.0148956336 1.0071348284 0.9905576841 
