# Radial distribution function (100 data points):
# "Pair separation distance" 1-1 1-2 2-2
0.05 0.0 0.0 0.0 
0.15 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 
0.35 0.0 0.0 0.0 
0.45 0.0 0.0 0.0 
0.55 0.0 0.0 0.0 
0.65 0.0 0.0 0.0 
0.75 0.0 0.0 0.0 
0.85 0.0 0.0 0.0 
0.95 0.0 0.0 0.0 
1.05 0.0 0.0 0.0 
1.15 0.0 0.0 0.0 
1.25 0.0 0.0 0.0 
1.35 0.0 0.0 0.0 
1.45 0.0 0.0 0.0 
1.55 0.0 0.0 0.0 
1.65 0.0 0.0 0.0 
1.75 0.0 0.0 0.0 
1.85 0.0 0.0 0.0 
1.95 0.0284685139 0.0 0.0 
2.05 0.1644637144 0.0 0.0 
2.15 0.5062172585 0.0 0.0 
2.25 0.9968319261 0.0050263062 0.0 
2.35 1.6753233408 0.1635733555 0.0 
2.45 2.1282308558 0.9496006949 0.002878592 
2.55 2.4807296645 2.3258384041 0.0411877685 
2.65 2.3409368673 3.2292458962 0.108263478 
2.75 1.6661401148 3.4854760664 0.3598652374 
2.85 1.1104014394 3.3365742731 0.8998677182 
2.95 0.8421372717 2.7589367927 1.6788062375 
3.05 0.6159361448 2.1474177496 2.3256177122 
3.15 0.4372864067 1.5075859899 2.7097210933 
3.25 0.364272868 1.1082616639 2.7124148978 
3.35 0.3747618295 0.85185615 2.3319540859 
3.45 0.3540525733 0.697715394 1.8909572727 
3.55 0.3628045757 0.6057888779 1.3320789381 
3.65 0.376955646 0.5176567255 0.920911793 
3.75 0.4424031037 0.519071056 0.6838320906 
3.85 0.5326578068 0.4870212311 0.5479293479 
3.95 0.6442815838 0.4833353765 0.483990269 
4.05 0.7865116165 0.4990676412 0.4530111845 
4.15 0.9729636235 0.5351514822 0.4931498378 
4.25 1.1282930344 0.5922177215 0.5501011181 
4.35 1.2984050932 0.6361345221 0.5972452276 
4.45 1.3302912306 0.701681148 0.6488065931 
4.55 1.3826908584 0.7775095263 0.7086633861 
4.65 1.3477431501 0.9184234823 0.8203683367 
4.75 1.3063607914 1.0136332245 0.8853747945 
4.85 1.3582057656 1.1284203489 1.0009450301 
4.95 1.2960670545 1.2106947888 1.0377856895 
5.05 1.2638625687 1.2663394552 1.1417618751 
5.15 1.2293894927 1.2441871361 1.1783192943 
5.25 1.210198519 1.2189404501 1.2492207004 
5.35 1.1592709565 1.1960280146 1.3080100007 
5.45 1.1549746094 1.1691057986 1.3055401815 
5.55 1.0950731776 1.1572376144 1.2855670285 
5.65 1.028737043 1.1717779544 1.2583281061 
5.75 0.9388551462 1.1184187576 1.1827977718 
5.85 0.8809922686 1.0564655671 1.1467464549 
5.95 0.8208100197 0.9645836265 1.0999830363 
6.05 0.813241898 0.9017887286 1.0766685296 
6.15 0.8022047054 0.8365911007 1.0581599846 
6.25 0.8055240066 0.8055829848 1.0024510736 
6.35 0.8497549348 0.7637904501 0.9383418859 
6.45 0.8970830467 0.7849471271 0.8851724745 
6.55 0.9209572661 0.8376843155 0.8378087247 
6.65 0.9296286733 0.8704210241 0.7860336559 
6.75 1.0064832511 0.9329816944 0.7574171864 
6.85 0.9879618621 0.9851268607 0.762533553 
6.95 1.0069817027 1.0052792819 0.8006736934 
7.05 1.0302299644 1.075786278 0.8222771253 
7.15 1.046579451 1.0844857877 0.8825926131 
7.25 1.0570459732 1.1093261415 0.9340301916 
7.35 1.0841348833 1.1002312034 0.9885985061 
7.45 1.0418709599 1.1157528448 1.0402314713 
7.55 1.0594573708 1.1003073999 1.0878907337 
7.65 1.019132035 1.1113025078 1.1117535002 
7.75 1.0298875954 1.0785013621 1.0970589227 
7.85 1.023819235 1.0804525153 1.1368708659 
7.95 1.0307744903 1.0653212882 1.1121417829 
8.05 1.0053245774 1.0346984412 1.0940163776 
8.15 0.9757900701 1.0245974448 1.0873672357 
8.25 0.9768744454 1.0095690155 1.0803362015 
8.35 0.9592310704 0.9790842592 1.0570936722 
8.45 0.9507760658 0.9512363335 1.0254454368 
8.55 0.9377806243 0.9565022246 0.98706076 
8.65 0.9552945328 0.9275419265 0.9876976122 
8.75 0.9433747982 0.9249661 0.9594952989 
8.85 0.9625852821 0.9362413211 0.9659556218 
8.95 0.9635503383 0.9296809534 0.9468639271 
9.05 0.9815254614 0.9403222867 0.9492639657 
9.15 0.9931169498 0.9508868392 0.9434899745 
9.25 1.0101129883 0.9485326563 0.936126679 
9.35 1.043402583 0.9552310971 0.9568314513 
9.45 1.0674166216 0.9888883685 0.9694884412 
9.55 1.0434444713 0.9783794197 0.9758186114 
9.65 1.0671870966 1.0174206412 0.9730504068 
9.75 1.0253449587 1.0228044975 0.9917314844 
9.85 1.0460084099 1.034799666 1.0089228762 
9.95 1.0535239123 1.0608894127 1.0267099773 
